id,type,section_id,section_name,web_publication_date,web_title,web_url,api_url,is_hosted,pillar_id,pillar_name,counter,formatted_date,year
lets-workflow-it/2021/jul/20/why-dont-we-try-something-new-flexible-working-can-be-a-chance-to-redefine-roles,article,lets-workflow-it,Let's workflow it,2021-07-20 08:46:51,‘Why don’t we try something new?’: flexible working can be a chance to redefine roles,https://www.theguardian.com/lets-workflow-it/2021/jul/20/why-dont-we-try-something-new-flexible-working-can-be-a-chance-to-redefine-roles,https://content.guardianapis.com/lets-workflow-it/2021/jul/20/why-dont-we-try-something-new-flexible-working-can-be-a-chance-to-redefine-roles,False,,,2,20/07/2021,2021
music/2021/jun/28/robot-rock-can-big-tech-pick-pops-next-megastar,article,music,Music,2021-06-28 05:00:45,‘A talent scout can’t go to 100 shows a night’ – how big data is choosing the next pop stars,https://www.theguardian.com/music/2021/jun/28/robot-rock-can-big-tech-pick-pops-next-megastar,https://content.guardianapis.com/music/2021/jun/28/robot-rock-can-big-tech-pick-pops-next-megastar,False,pillar/arts,Arts,2,28/06/2021,2021
lifeandstyle/2021/jun/26/project-cassandra-plan-to-use-novels-to-predict-next-war,article,books,Books,2021-06-26 10:00:03,"‘At first I thought, this is crazy’: the real-life plan to use novels to predict the next war",https://www.theguardian.com/lifeandstyle/2021/jun/26/project-cassandra-plan-to-use-novels-to-predict-next-war,https://content.guardianapis.com/lifeandstyle/2021/jun/26/project-cassandra-plan-to-use-novels-to-predict-next-war,False,pillar/arts,Arts,2,26/06/2021,2021
digital-mindset/2021/may/26/support-network-how-student-wellbeing-services-are-going-digital,article,digital-mindset,Digital mindset,2021-05-26 09:45:12,Support network: how student wellbeing services are going digital,https://www.theguardian.com/digital-mindset/2021/may/26/support-network-how-student-wellbeing-services-are-going-digital,https://content.guardianapis.com/digital-mindset/2021/may/26/support-network-how-student-wellbeing-services-are-going-digital,False,,,2,26/05/2021,2021
business/live/2021/apr/19/economic-optimism-markets-workers-office-economics-eurozone-construction-house-prices-business-live,liveblog,business,Business,2021-04-19 17:46:29,UK probes Nvidia’s Arm deal; workers split over return to office – as it happened,https://www.theguardian.com/business/live/2021/apr/19/economic-optimism-markets-workers-office-economics-eurozone-construction-house-prices-business-live,https://content.guardianapis.com/business/live/2021/apr/19/economic-optimism-markets-workers-office-economics-eurozone-construction-house-prices-business-live,False,pillar/news,News,2,19/04/2021,2021
business/live/2021/mar/11/us-stimulus-markets-ecb-meeting-rolls-royce-john-lewis-ftse-dow-business-live,liveblog,business,Business,2021-03-11 17:29:16,ECB accelerates bond-buying; UK delays EU import checks; John Lewis store closure warning – as it happened,https://www.theguardian.com/business/live/2021/mar/11/us-stimulus-markets-ecb-meeting-rolls-royce-john-lewis-ftse-dow-business-live,https://content.guardianapis.com/business/live/2021/mar/11/us-stimulus-markets-ecb-meeting-rolls-royce-john-lewis-ftse-dow-business-live,False,pillar/news,News,3,11/03/2021,2021
business/2021/feb/20/drug-companies-look-to-ai-to-end-hit-and-miss-research,article,business,Business,2021-02-20 16:00:36,Drug companies look to AI to end 'hit and miss' research,https://www.theguardian.com/business/2021/feb/20/drug-companies-look-to-ai-to-end-hit-and-miss-research,https://content.guardianapis.com/business/2021/feb/20/drug-companies-look-to-ai-to-end-hit-and-miss-research,False,pillar/news,News,3,20/02/2021,2021
education/2021/feb/16/is-there-a-problem-you-want-to-solve-how-to-get-a-place-on-a-tech-masters-programme,article,education,Education,2021-02-16 19:32:32,'Is there a problem you want to solve?': how to get a place on a tech master's programme,https://www.theguardian.com/education/2021/feb/16/is-there-a-problem-you-want-to-solve-how-to-get-a-place-on-a-tech-masters-programme,https://content.guardianapis.com/education/2021/feb/16/is-there-a-problem-you-want-to-solve-how-to-get-a-place-on-a-tech-masters-programme,False,pillar/news,News,3,16/02/2021,2021
business/2020/dec/17/alibaba-offered-clients-facial-recognition-to-identify-uighur-people,article,business,Business,2020-12-17 10:44:50,"Alibaba offered clients facial recognition to identify Uighur people, report reveals",https://www.theguardian.com/business/2020/dec/17/alibaba-offered-clients-facial-recognition-to-identify-uighur-people,https://content.guardianapis.com/business/2020/dec/17/alibaba-offered-clients-facial-recognition-to-identify-uighur-people,False,pillar/news,News,3,17/12/2020,2020
world/2020/nov/15/chumocracy-covid-revealed-shape-tory-establishment,article,world,World news,2020-11-15 12:40:26,'Chumocracy': how Covid revealed the new shape of the Tory establishment,https://www.theguardian.com/world/2020/nov/15/chumocracy-covid-revealed-shape-tory-establishment,https://content.guardianapis.com/world/2020/nov/15/chumocracy-covid-revealed-shape-tory-establishment,False,pillar/news,News,3,15/11/2020,2020
business/2020/sep/06/nobody-is-safe-why-australias-covid-jobs-crisis-could-last-years,article,business,Business,2020-09-05 20:00:04,'Nobody is safe': why Australia's Covid jobs crisis could last years,https://www.theguardian.com/business/2020/sep/06/nobody-is-safe-why-australias-covid-jobs-crisis-could-last-years,https://content.guardianapis.com/business/2020/sep/06/nobody-is-safe-why-australias-covid-jobs-crisis-could-last-years,False,pillar/news,News,4,05/09/2020,2020
commentisfree/2020/aug/31/why-are-us-companies-buying-tech-from-chinese-firms-that-spy-on-muslims,article,commentisfree,Opinion,2020-08-31 12:51:29,Why are US companies buying tech from Chinese firms that spy on Muslims? | Darren Byler,https://www.theguardian.com/commentisfree/2020/aug/31/why-are-us-companies-buying-tech-from-chinese-firms-that-spy-on-muslims,https://content.guardianapis.com/commentisfree/2020/aug/31/why-are-us-companies-buying-tech-from-chinese-firms-that-spy-on-muslims,False,pillar/opinion,Opinion,4,31/08/2020,2020
technology/2020/aug/27/facebook-kenosha-shooter-support-ban,article,technology,Technology,2020-08-27 22:35:39,Praise for alleged Kenosha shooter proliferates on Facebook despite supposed ban,https://www.theguardian.com/technology/2020/aug/27/facebook-kenosha-shooter-support-ban,https://content.guardianapis.com/technology/2020/aug/27/facebook-kenosha-shooter-support-ban,False,pillar/news,News,4,27/08/2020,2020
politics/2020/jul/12/revealed-dominic-cummings-firm-paid-vote-leaves-ai-firm-260000,article,politics,Politics,2020-07-12 12:00:13,"Revealed: Dominic Cummings firm paid Vote Leave's AI firm £260,000",https://www.theguardian.com/politics/2020/jul/12/revealed-dominic-cummings-firm-paid-vote-leaves-ai-firm-260000,https://content.guardianapis.com/politics/2020/jul/12/revealed-dominic-cummings-firm-paid-vote-leaves-ai-firm-260000,False,pillar/news,News,4,12/07/2020,2020
lifeandstyle/2020/jun/19/in-your-ear-coach-beefy-and-the-rise-of-the-fitness-app,article,lifeandstyle,Life and style,2020-06-19 11:21:34,'People found my voice and connected with it': the rise of in-app running coaches,https://www.theguardian.com/lifeandstyle/2020/jun/19/in-your-ear-coach-beefy-and-the-rise-of-the-fitness-app,https://content.guardianapis.com/lifeandstyle/2020/jun/19/in-your-ear-coach-beefy-and-the-rise-of-the-fitness-app,False,pillar/lifestyle,Lifestyle,4,19/06/2020,2020
football/blog/2020/may/29/german-rallied-save-womens-football-fa-should-be-embarrassed,article,football,Football,2020-05-29 07:00:53,Germany rallied to save women's football – the FA should be embarrassed | Suzanne Wrack,https://www.theguardian.com/football/blog/2020/may/29/german-rallied-save-womens-football-fa-should-be-embarrassed,https://content.guardianapis.com/football/blog/2020/may/29/german-rallied-save-womens-football-fa-should-be-embarrassed,False,pillar/sport,Sport,5,29/05/2020,2020
society/2020/may/02/a-threat-to-health-is-being-weaponised-inside-the-fight-against-online-hate,article,society,Society,2020-05-02 10:00:20,‘A threat to health is being weaponised’: inside the fight against online hate crime,https://www.theguardian.com/society/2020/may/02/a-threat-to-health-is-being-weaponised-inside-the-fight-against-online-hate,https://content.guardianapis.com/society/2020/may/02/a-threat-to-health-is-being-weaponised-inside-the-fight-against-online-hate,False,pillar/news,News,5,02/05/2020,2020
careers/2020/apr/02/the-problem-of-gendered-language-is-universal-how-ai-reveals-media-bias,article,careers,Guardian Careers,2020-04-02 09:10:33,'The problem of gendered language is universal' – how AI reveals media bias,https://www.theguardian.com/careers/2020/apr/02/the-problem-of-gendered-language-is-universal-how-ai-reveals-media-bias,https://content.guardianapis.com/careers/2020/apr/02/the-problem-of-gendered-language-is-universal-how-ai-reveals-media-bias,False,,,5,02/04/2020,2020
